geometry
"POLYGON ((41.139343 -8.609351113999956, 41.139343 -8.608644815999956, 41.140049297999994 -8.608644815999956, 41.140049297999994 -8.609351113999956, 41.139343 -8.609351113999956))"
"POLYGON ((41.139343 -8.608644815999956, 41.139343 -8.607938517999955, 41.140049297999994 -8.607938517999955, 41.140049297999994 -8.608644815999956, 41.139343 -8.608644815999956))"
"POLYGON ((41.139343 -8.607938517999955, 41.139343 -8.607232219999954, 41.140049297999994 -8.607232219999954, 41.140049297999994 -8.607938517999955, 41.139343 -8.607938517999955))"
"POLYGON ((41.139343 -8.607232219999954, 41.139343 -8.606525921999953, 41.140049297999994 -8.606525921999953, 41.140049297999994 -8.607232219999954, 41.139343 -8.607232219999954))"
"POLYGON ((41.139343 -8.606525921999953, 41.139343 -8.605819623999952, 41.140049297999994 -8.605819623999952, 41.140049297999994 -8.606525921999953, 41.139343 -8.606525921999953))"
"POLYGON ((41.139343 -8.605819623999952, 41.139343 -8.605113325999952, 41.140049297999994 -8.605113325999952, 41.140049297999994 -8.605819623999952, 41.139343 -8.605819623999952))"
"POLYGON ((41.139343 -8.605113325999952, 41.139343 -8.604407027999951, 41.140049297999994 -8.604407027999951, 41.140049297999994 -8.605113325999952, 41.139343 -8.605113325999952))"
"POLYGON ((41.139343 -8.604407027999951, 41.139343 -8.60370072999995, 41.140049297999994 -8.60370072999995, 41.140049297999994 -8.604407027999951, 41.139343 -8.604407027999951))"
"POLYGON ((41.139343 -8.60370072999995, 41.139343 -8.60299443199995, 41.140049297999994 -8.60299443199995, 41.140049297999994 -8.60370072999995, 41.139343 -8.60370072999995))"
"POLYGON ((41.139343 -8.60299443199995, 41.139343 -8.602288133999949, 41.140049297999994 -8.602288133999949, 41.140049297999994 -8.60299443199995, 41.139343 -8.60299443199995))"
"POLYGON ((41.139343 -8.602288133999949, 41.139343 -8.601581835999948, 41.140049297999994 -8.601581835999948, 41.140049297999994 -8.602288133999949, 41.139343 -8.602288133999949))"
"POLYGON ((41.139343 -8.601581835999948, 41.139343 -8.600875537999947, 41.140049297999994 -8.600875537999947, 41.140049297999994 -8.601581835999948, 41.139343 -8.601581835999948))"
"POLYGON ((41.139343 -8.600875537999947, 41.139343 -8.600169239999946, 41.140049297999994 -8.600169239999946, 41.140049297999994 -8.600875537999947, 41.139343 -8.600875537999947))"
"POLYGON ((41.139343 -8.600169239999946, 41.139343 -8.599462941999946, 41.140049297999994 -8.599462941999946, 41.140049297999994 -8.600169239999946, 41.139343 -8.600169239999946))"
"POLYGON ((41.139343 -8.599462941999946, 41.139343 -8.598756643999945, 41.140049297999994 -8.598756643999945, 41.140049297999994 -8.599462941999946, 41.139343 -8.599462941999946))"
"POLYGON ((41.139343 -8.598756643999945, 41.139343 -8.598050345999944, 41.140049297999994 -8.598050345999944, 41.140049297999994 -8.598756643999945, 41.139343 -8.598756643999945))"
"POLYGON ((41.139343 -8.598050345999944, 41.139343 -8.597344047999943, 41.140049297999994 -8.597344047999943, 41.140049297999994 -8.598050345999944, 41.139343 -8.598050345999944))"
"POLYGON ((41.139343 -8.597344047999943, 41.139343 -8.596637749999942, 41.140049297999994 -8.596637749999942, 41.140049297999994 -8.597344047999943, 41.139343 -8.597344047999943))"
"POLYGON ((41.139343 -8.596637749999942, 41.139343 -8.595931451999942, 41.140049297999994 -8.595931451999942, 41.140049297999994 -8.596637749999942, 41.139343 -8.596637749999942))"
"POLYGON ((41.139343 -8.595931451999942, 41.139343 -8.595225153999941, 41.140049297999994 -8.595225153999941, 41.140049297999994 -8.595931451999942, 41.139343 -8.595931451999942))"
"POLYGON ((41.139343 -8.595225153999941, 41.139343 -8.59451885599994, 41.140049297999994 -8.59451885599994, 41.140049297999994 -8.595225153999941, 41.139343 -8.595225153999941))"
"POLYGON ((41.139343 -8.59451885599994, 41.139343 -8.59381255799994, 41.140049297999994 -8.59381255799994, 41.140049297999994 -8.59451885599994, 41.139343 -8.59451885599994))"
"POLYGON ((41.139343 -8.59381255799994, 41.139343 -8.593106259999939, 41.140049297999994 -8.593106259999939, 41.140049297999994 -8.59381255799994, 41.139343 -8.59381255799994))"
"POLYGON ((41.139343 -8.593106259999939, 41.139343 -8.592399961999938, 41.140049297999994 -8.592399961999938, 41.140049297999994 -8.593106259999939, 41.139343 -8.593106259999939))"
"POLYGON ((41.139343 -8.592399961999938, 41.139343 -8.591693663999937, 41.140049297999994 -8.591693663999937, 41.140049297999994 -8.592399961999938, 41.139343 -8.592399961999938))"
"POLYGON ((41.139343 -8.591693663999937, 41.139343 -8.590987365999936, 41.140049297999994 -8.590987365999936, 41.140049297999994 -8.591693663999937, 41.139343 -8.591693663999937))"
"POLYGON ((41.139343 -8.590987365999936, 41.139343 -8.590281067999936, 41.140049297999994 -8.590281067999936, 41.140049297999994 -8.590987365999936, 41.139343 -8.590987365999936))"
"POLYGON ((41.139343 -8.590281067999936, 41.139343 -8.589574769999935, 41.140049297999994 -8.589574769999935, 41.140049297999994 -8.590281067999936, 41.139343 -8.590281067999936))"
"POLYGON ((41.139343 -8.589574769999935, 41.139343 -8.588868471999934, 41.140049297999994 -8.588868471999934, 41.140049297999994 -8.589574769999935, 41.139343 -8.589574769999935))"
"POLYGON ((41.139343 -8.588868471999934, 41.139343 -8.588162173999933, 41.140049297999994 -8.588162173999933, 41.140049297999994 -8.588868471999934, 41.139343 -8.588868471999934))"
"POLYGON ((41.139343 -8.588162173999933, 41.139343 -8.587455875999932, 41.140049297999994 -8.587455875999932, 41.140049297999994 -8.588162173999933, 41.139343 -8.588162173999933))"
"POLYGON ((41.139343 -8.587455875999932, 41.139343 -8.586749577999932, 41.140049297999994 -8.586749577999932, 41.140049297999994 -8.587455875999932, 41.139343 -8.587455875999932))"
"POLYGON ((41.139343 -8.586749577999932, 41.139343 -8.586043279999931, 41.140049297999994 -8.586043279999931, 41.140049297999994 -8.586749577999932, 41.139343 -8.586749577999932))"
"POLYGON ((41.139343 -8.586043279999931, 41.139343 -8.58533698199993, 41.140049297999994 -8.58533698199993, 41.140049297999994 -8.586043279999931, 41.139343 -8.586043279999931))"
"POLYGON ((41.139343 -8.58533698199993, 41.139343 -8.58463068399993, 41.140049297999994 -8.58463068399993, 41.140049297999994 -8.58533698199993, 41.139343 -8.58533698199993))"
"POLYGON ((41.139343 -8.58463068399993, 41.139343 -8.583924385999929, 41.140049297999994 -8.583924385999929, 41.140049297999994 -8.58463068399993, 41.139343 -8.58463068399993))"
"POLYGON ((41.139343 -8.583924385999929, 41.139343 -8.583218087999928, 41.140049297999994 -8.583218087999928, 41.140049297999994 -8.583924385999929, 41.139343 -8.583924385999929))"
"POLYGON ((41.139343 -8.583218087999928, 41.139343 -8.582511789999927, 41.140049297999994 -8.582511789999927, 41.140049297999994 -8.583218087999928, 41.139343 -8.583218087999928))"
"POLYGON ((41.139343 -8.582511789999927, 41.139343 -8.581805491999926, 41.140049297999994 -8.581805491999926, 41.140049297999994 -8.582511789999927, 41.139343 -8.582511789999927))"
"POLYGON ((41.139343 -8.581805491999926, 41.139343 -8.581099193999925, 41.140049297999994 -8.581099193999925, 41.140049297999994 -8.581805491999926, 41.139343 -8.581805491999926))"
"POLYGON ((41.139343 -8.581099193999925, 41.139343 -8.580392895999925, 41.140049297999994 -8.580392895999925, 41.140049297999994 -8.581099193999925, 41.139343 -8.581099193999925))"
"POLYGON ((41.139343 -8.580392895999925, 41.139343 -8.579686597999924, 41.140049297999994 -8.579686597999924, 41.140049297999994 -8.580392895999925, 41.139343 -8.580392895999925))"
"POLYGON ((41.139343 -8.579686597999924, 41.139343 -8.578980299999923, 41.140049297999994 -8.578980299999923, 41.140049297999994 -8.579686597999924, 41.139343 -8.579686597999924))"
"POLYGON ((41.139343 -8.578980299999923, 41.139343 -8.578274001999922, 41.140049297999994 -8.578274001999922, 41.140049297999994 -8.578980299999923, 41.139343 -8.578980299999923))"
"POLYGON ((41.139343 -8.578274001999922, 41.139343 -8.577567703999922, 41.140049297999994 -8.577567703999922, 41.140049297999994 -8.578274001999922, 41.139343 -8.578274001999922))"
"POLYGON ((41.140049297999994 -8.6496101, 41.140049297999994 -8.648903802, 41.14075559599999 -8.648903802, 41.14075559599999 -8.6496101, 41.140049297999994 -8.6496101))"
"POLYGON ((41.140049297999994 -8.648903802, 41.140049297999994 -8.648197503999999, 41.14075559599999 -8.648197503999999, 41.14075559599999 -8.648903802, 41.140049297999994 -8.648903802))"
"POLYGON ((41.140049297999994 -8.648197503999999, 41.140049297999994 -8.647491205999998, 41.14075559599999 -8.647491205999998, 41.14075559599999 -8.648197503999999, 41.140049297999994 -8.648197503999999))"
"POLYGON ((41.140049297999994 -8.647491205999998, 41.140049297999994 -8.646784907999997, 41.14075559599999 -8.646784907999997, 41.14075559599999 -8.647491205999998, 41.140049297999994 -8.647491205999998))"
"POLYGON ((41.140049297999994 -8.646784907999997, 41.140049297999994 -8.646078609999996, 41.14075559599999 -8.646078609999996, 41.14075559599999 -8.646784907999997, 41.140049297999994 -8.646784907999997))"
"POLYGON ((41.140049297999994 -8.646078609999996, 41.140049297999994 -8.645372311999996, 41.14075559599999 -8.645372311999996, 41.14075559599999 -8.646078609999996, 41.140049297999994 -8.646078609999996))"
"POLYGON ((41.140049297999994 -8.645372311999996, 41.140049297999994 -8.644666013999995, 41.14075559599999 -8.644666013999995, 41.14075559599999 -8.645372311999996, 41.140049297999994 -8.645372311999996))"
"POLYGON ((41.140049297999994 -8.644666013999995, 41.140049297999994 -8.643959715999994, 41.14075559599999 -8.643959715999994, 41.14075559599999 -8.644666013999995, 41.140049297999994 -8.644666013999995))"
"POLYGON ((41.140049297999994 -8.643959715999994, 41.140049297999994 -8.643253417999993, 41.14075559599999 -8.643253417999993, 41.14075559599999 -8.643959715999994, 41.140049297999994 -8.643959715999994))"
"POLYGON ((41.140049297999994 -8.643253417999993, 41.140049297999994 -8.642547119999993, 41.14075559599999 -8.642547119999993, 41.14075559599999 -8.643253417999993, 41.140049297999994 -8.643253417999993))"
"POLYGON ((41.140049297999994 -8.642547119999993, 41.140049297999994 -8.641840821999992, 41.14075559599999 -8.641840821999992, 41.14075559599999 -8.642547119999993, 41.140049297999994 -8.642547119999993))"
"POLYGON ((41.140049297999994 -8.641840821999992, 41.140049297999994 -8.641134523999991, 41.14075559599999 -8.641134523999991, 41.14075559599999 -8.641840821999992, 41.140049297999994 -8.641840821999992))"
"POLYGON ((41.140049297999994 -8.641134523999991, 41.140049297999994 -8.64042822599999, 41.14075559599999 -8.64042822599999, 41.14075559599999 -8.641134523999991, 41.140049297999994 -8.641134523999991))"
"POLYGON ((41.140049297999994 -8.64042822599999, 41.140049297999994 -8.63972192799999, 41.14075559599999 -8.63972192799999, 41.14075559599999 -8.64042822599999, 41.140049297999994 -8.64042822599999))"
"POLYGON ((41.140049297999994 -8.63972192799999, 41.140049297999994 -8.639015629999989, 41.14075559599999 -8.639015629999989, 41.14075559599999 -8.63972192799999, 41.140049297999994 -8.63972192799999))"
"POLYGON ((41.140049297999994 -8.639015629999989, 41.140049297999994 -8.638309331999988, 41.14075559599999 -8.638309331999988, 41.14075559599999 -8.639015629999989, 41.140049297999994 -8.639015629999989))"
"POLYGON ((41.140049297999994 -8.638309331999988, 41.140049297999994 -8.637603033999987, 41.14075559599999 -8.637603033999987, 41.14075559599999 -8.638309331999988, 41.140049297999994 -8.638309331999988))"
"POLYGON ((41.140049297999994 -8.637603033999987, 41.140049297999994 -8.636896735999986, 41.14075559599999 -8.636896735999986, 41.14075559599999 -8.637603033999987, 41.140049297999994 -8.637603033999987))"
"POLYGON ((41.140049297999994 -8.636896735999986, 41.140049297999994 -8.636190437999986, 41.14075559599999 -8.636190437999986, 41.14075559599999 -8.636896735999986, 41.140049297999994 -8.636896735999986))"
"POLYGON ((41.140049297999994 -8.636190437999986, 41.140049297999994 -8.635484139999985, 41.14075559599999 -8.635484139999985, 41.14075559599999 -8.636190437999986, 41.140049297999994 -8.636190437999986))"
"POLYGON ((41.140049297999994 -8.635484139999985, 41.140049297999994 -8.634777841999984, 41.14075559599999 -8.634777841999984, 41.14075559599999 -8.635484139999985, 41.140049297999994 -8.635484139999985))"
"POLYGON ((41.140049297999994 -8.634777841999984, 41.140049297999994 -8.634071543999983, 41.14075559599999 -8.634071543999983, 41.14075559599999 -8.634777841999984, 41.140049297999994 -8.634777841999984))"
"POLYGON ((41.140049297999994 -8.634071543999983, 41.140049297999994 -8.633365245999983, 41.14075559599999 -8.633365245999983, 41.14075559599999 -8.634071543999983, 41.140049297999994 -8.634071543999983))"
"POLYGON ((41.140049297999994 -8.633365245999983, 41.140049297999994 -8.632658947999982, 41.14075559599999 -8.632658947999982, 41.14075559599999 -8.633365245999983, 41.140049297999994 -8.633365245999983))"
"POLYGON ((41.140049297999994 -8.632658947999982, 41.140049297999994 -8.631952649999981, 41.14075559599999 -8.631952649999981, 41.14075559599999 -8.632658947999982, 41.140049297999994 -8.632658947999982))"
"POLYGON ((41.140049297999994 -8.631952649999981, 41.140049297999994 -8.63124635199998, 41.14075559599999 -8.63124635199998, 41.14075559599999 -8.631952649999981, 41.140049297999994 -8.631952649999981))"
"POLYGON ((41.140049297999994 -8.63124635199998, 41.140049297999994 -8.63054005399998, 41.14075559599999 -8.63054005399998, 41.14075559599999 -8.63124635199998, 41.140049297999994 -8.63124635199998))"
"POLYGON ((41.140049297999994 -8.63054005399998, 41.140049297999994 -8.629833755999979, 41.14075559599999 -8.629833755999979, 41.14075559599999 -8.63054005399998, 41.140049297999994 -8.63054005399998))"
"POLYGON ((41.140049297999994 -8.629833755999979, 41.140049297999994 -8.629127457999978, 41.14075559599999 -8.629127457999978, 41.14075559599999 -8.629833755999979, 41.140049297999994 -8.629833755999979))"
"POLYGON ((41.140049297999994 -8.629127457999978, 41.140049297999994 -8.628421159999977, 41.14075559599999 -8.628421159999977, 41.14075559599999 -8.629127457999978, 41.140049297999994 -8.629127457999978))"
"POLYGON ((41.140049297999994 -8.628421159999977, 41.140049297999994 -8.627714861999976, 41.14075559599999 -8.627714861999976, 41.14075559599999 -8.628421159999977, 41.140049297999994 -8.628421159999977))"
"POLYGON ((41.140049297999994 -8.627714861999976, 41.140049297999994 -8.627008563999976, 41.14075559599999 -8.627008563999976, 41.14075559599999 -8.627714861999976, 41.140049297999994 -8.627714861999976))"
"POLYGON ((41.140049297999994 -8.627008563999976, 41.140049297999994 -8.626302265999975, 41.14075559599999 -8.626302265999975, 41.14075559599999 -8.627008563999976, 41.140049297999994 -8.627008563999976))"
"POLYGON ((41.140049297999994 -8.626302265999975, 41.140049297999994 -8.625595967999974, 41.14075559599999 -8.625595967999974, 41.14075559599999 -8.626302265999975, 41.140049297999994 -8.626302265999975))"
"POLYGON ((41.140049297999994 -8.625595967999974, 41.140049297999994 -8.624889669999973, 41.14075559599999 -8.624889669999973, 41.14075559599999 -8.625595967999974, 41.140049297999994 -8.625595967999974))"
"POLYGON ((41.140049297999994 -8.624889669999973, 41.140049297999994 -8.624183371999973, 41.14075559599999 -8.624183371999973, 41.14075559599999 -8.624889669999973, 41.140049297999994 -8.624889669999973))"
"POLYGON ((41.140049297999994 -8.624183371999973, 41.140049297999994 -8.623477073999972, 41.14075559599999 -8.623477073999972, 41.14075559599999 -8.624183371999973, 41.140049297999994 -8.624183371999973))"
"POLYGON ((41.140049297999994 -8.623477073999972, 41.140049297999994 -8.622770775999971, 41.14075559599999 -8.622770775999971, 41.14075559599999 -8.623477073999972, 41.140049297999994 -8.623477073999972))"
"POLYGON ((41.140049297999994 -8.622770775999971, 41.140049297999994 -8.62206447799997, 41.14075559599999 -8.62206447799997, 41.14075559599999 -8.622770775999971, 41.140049297999994 -8.622770775999971))"
"POLYGON ((41.140049297999994 -8.62206447799997, 41.140049297999994 -8.62135817999997, 41.14075559599999 -8.62135817999997, 41.14075559599999 -8.62206447799997, 41.140049297999994 -8.62206447799997))"
"POLYGON ((41.140049297999994 -8.62135817999997, 41.140049297999994 -8.620651881999969, 41.14075559599999 -8.620651881999969, 41.14075559599999 -8.62135817999997, 41.140049297999994 -8.62135817999997))"
"POLYGON ((41.140049297999994 -8.620651881999969, 41.140049297999994 -8.619945583999968, 41.14075559599999 -8.619945583999968, 41.14075559599999 -8.620651881999969, 41.140049297999994 -8.620651881999969))"
"POLYGON ((41.140049297999994 -8.619945583999968, 41.140049297999994 -8.619239285999967, 41.14075559599999 -8.619239285999967, 41.14075559599999 -8.619945583999968, 41.140049297999994 -8.619945583999968))"
"POLYGON ((41.140049297999994 -8.619239285999967, 41.140049297999994 -8.618532987999966, 41.14075559599999 -8.618532987999966, 41.14075559599999 -8.619239285999967, 41.140049297999994 -8.619239285999967))"
"POLYGON ((41.140049297999994 -8.618532987999966, 41.140049297999994 -8.617826689999966, 41.14075559599999 -8.617826689999966, 41.14075559599999 -8.618532987999966, 41.140049297999994 -8.618532987999966))"
"POLYGON ((41.140049297999994 -8.617826689999966, 41.140049297999994 -8.617120391999965, 41.14075559599999 -8.617120391999965, 41.14075559599999 -8.617826689999966, 41.140049297999994 -8.617826689999966))"
